Epoch,G_loss_train,D_loss_train,Avg_adv_loss_train,Avg_L1_loss_train,G_loss_val,D_loss_val,Avg_adv_loss_val,Avg_L1_loss_val
1,13.655149318458578,0.2874053992868233,2.1007174259086825,0.11554431891686351,13.068638761534945,0.7800362057813252,1.5292198253041915,0.11539418964099338
2,10.982641360187788,0.5331020324096847,1.2376699788229806,0.09744971366523893,9.763229703175202,0.6736875897600451,0.9375095522130719,0.08825720122922923
3,10.183681319666038,0.6269499571577236,0.9532427205792013,0.09230438612823216,9.025685585182131,0.6897359128671748,0.8432477366833286,0.08182437867210567
4,9.670220153351035,0.635671195757357,0.87146729158584,0.08798752843610681,9.195929762061315,0.6888089330141781,0.8677258368666846,0.08328203969272494
5,9.206939553314784,0.6397787824955912,0.8663939482198572,0.08340545604130971,8.21112400156851,0.6905413242696806,0.7686481284731217,0.0744247586530356
6,8.89801079950564,0.6394210634125532,0.8460974028770815,0.08051913379719154,8.301135747487308,0.6877460045213918,0.8021289578830922,0.0749900679722542
7,8.693761952803785,0.6381988442651024,0.8428913725996917,0.07850870570905928,7.758033566802513,0.6883752826060957,0.7813652032659254,0.06976668353242274
8,8.579199251781576,0.6386331226224848,0.8445451871725427,0.07734654064609034,8.307060543817418,0.6917235175616868,0.8062163241036976,0.07500844185759548
9,8.346400024434628,0.6360444094774858,0.8434135007930573,0.075029865414346,7.6775862406228335,0.692392275761102,0.8160062739412293,0.06861579979819651
10,8.195349582764658,0.6349761702542035,0.8385460600056096,0.07356803524847622,7.500161127279733,0.6974955151099285,0.8422256489746444,0.06657935464257048
11,8.150242047168495,0.6376468372553828,0.8261762800804688,0.07324065748511781,8.055449500338721,0.6940527492352114,0.8368156270216439,0.07218633853752195
12,7.980909060917774,0.6350034654461791,0.833918651801878,0.07146990416204993,7.43242146222646,0.6920965414010841,0.8034192783231954,0.06629002182424523
13,7.921814163418793,0.6364202002952041,0.8197470896166933,0.07102067087277408,7.341716815497129,0.6966448155523256,0.8160907617052093,0.06525626086153602
14,7.802413531069486,0.63551787313104,0.8207727197527565,0.06981640818686981,7.19226259129648,0.6981719704984709,0.8200260107298843,0.063722365713529
