Track Name,SDR Vocals,SDR Drums,SDR Bass,SDR Others
Hollow Ground - Ill Fate,0.007377295754849911,0.011219662614166737,0.024564584717154503,0.009599409997463226
James Elder & Mark M Thompson - The English Actor,0.012404343113303185,0.027907852083444595,0.014155439101159573,0.010185367427766323
Juliet's Rescue - Heartbeats,0.00809569377452135,0.01042582280933857,0.019182048738002777,0.020373525097966194
Little Chicago's Finest - My Own,0.016141744330525398,0.017355870455503464,0.026884322986006737,0.006976871285587549
Louis Cressy Band - Good Time,0.014124075882136822,0.015353305265307426,0.02089117281138897,0.014120015315711498
Lyndsey Ollard - Catching Up,0.010588382370769978,0.004014967940747738,0.012626486830413342,0.010105946101248264
M.E.R.C. Music - Knockout,0.007596557028591633,0.016217513009905815,0.032777246087789536,0.01309727318584919
Moosmusic - Big Dummy Shake,0.009122294373810291,0.01062601339071989,0.011685277335345745,0.008668191730976105
Motor Tapes - Shore,0.04790054261684418,0.01937573216855526,0.008607904426753521,0.004945981781929731
Mu - Too Bright,0.0066009750589728355,0.00653335964307189,0.012929734773933887,0.013835297897458076
Nerve 9 - Pray For The Rain,0.005331567022949457,0.015709055587649345,0.023878855630755424,0.008455072529613972
PR - Happy Daze,0.033541761338710785,0.0034402436576783657,0.026502087712287903,0.01396062783896923
PR - Oh No,0.025835126638412476,0.006497559603303671,0.03807457536458969,0.01619800738990307
Punkdisco - Oral Hygiene,0.015456999652087688,0.021276116371154785,0.04017923027276993,0.016875481233000755
Raft Monk - Tiring,0.007366510573774576,0.00949903018772602,0.0172173660248518,0.029297180473804474
